city_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
263,karratha,AU,75.94,-20.74,116.85,ibis Styles Karratha
269,ust-maya,RU,83.55,60.42,134.53, 
270,skelleftea,SE,64.4,64.75,20.95,Quality Hotel Skellefteå Stadshotell
271,verkhoyansk,RU,84.99,67.54,133.38, 
272,nouadhibou,MR,71.6,20.93,-17.03,El Medina
274,aksu,CN,76.96,41.12,80.26,Pudong Holiday Hotel
277,uhlove,UA,66.33,44.82,33.6,Tavryda
279,tommot,RU,78.33,58.96,126.29,Gostinitsa Tommot
281,kasongo,CD,68.11,-4.45,26.67,Guest Hôtel
283,pemberton,CA,60.8,50.32,-122.8,Pemberton Valley Lodge
285,acarau,BR,75.88,-2.89,-40.12,castelo pizzaria
287,georgetown,MY,84.2,5.41,100.34,Cititel Penang
